Cno 	  Csize 	 CEdge 	 CDensity 	 Cluster Info
C1	41	82	5.0	[CAD, PRKCE, SEC16A, TRIM29, STAU1, PSMC2, CFTR, TUBA1C, XPO1, RUVBL1, RUVBL2, RAB5A, HSPA8, HSPA5, TP53, FN1, HDAC1, LOXL2, RBBP4, TXNRD1, OLA1, SNAP23, PPP2R1A, DYNLL1, TXNDC17, CD44, CBX3, WTAP, KANK2, RAE1, PC, LRP1, DEFA5, TSHR, RAB7A, DISC1, MPST, KPNB1, DNAJB1, QARS, LGALS3BP]	
C2	38	71	4.95	[CLTB, OCRL, FN1, RAB6B, AP2B1, AP2A2, CLTC, AP2A1, AP2M1, ELAVL1, RAB5C, SOAT1, SEC61B, RPN1, CFTR, CANX, EMD, GSN, PXN, LGALS3, SLC4A7, PDZK1, SLC4A8, LGALS8, LGALS9, LGALS1, MYH9, HSP90AA1, PHGDH, YBX1, BAG2, EEF2, FSCN1, CCT5, PRDX6, CCT2, NSMAF, CCT3]	
C3	37	67	4.97	[CORO1C, CFTR, FN1, GLO1, ARPC1A, TPM2, CAPZB, PRDX6, TUBB6, IPO5, CCT4, MYH9, ALDOA, YWHAZ, PHB, LDHA, RPL36, XRCC5, RPS15, ESYT2, KRT18, RPN1, RPL28, FLOT2, HSPA1A, IGF2BP3, PHGDH, COPE, SSBP1, RNH1, STIP1, ERLIN2, DAB2, HSP90AA1, ACTN4, PCNA, RPL24]	
C4	36	64	4.92	[GP6, HIST3H3, YES1, FCER1G, CALM1, FYN, LYN, CFTR, FN1, PRDX6, TUBB6, IPO5, CCT4, MYH9, ALDOA, YWHAZ, PHB, LDHA, RPL36, XRCC5, RPS15, ESYT2, KRT18, RPN1, RPL28, FLOT2, HSPA1A, IGF2BP3, PHGDH, COPE, SSBP1, RNH1, STIP1, ERLIN2, DAB2, HSP90AA1]	
C5	36	64	4.92	[YEATS4, TPH1, MCM10, RFWD3, CFL1, YWHAZ, DNAJC12, CFTR, FN1, TH, YWHAG, PRDX6, TUBB6, IPO5, CCT4, MYH9, ALDOA, PHB, LDHA, RPL36, XRCC5, RPS15, ESYT2, KRT18, RPN1, RPL28, FLOT2, HSPA1A, IGF2BP3, PHGDH, COPE, SSBP1, RNH1, STIP1, ERLIN2, DAB2]	
C6	36	63	5.0	[SPSB4, NOS2, CUL5, RAC2, SPSB1, UCHL5, SPSB2, S100A9, S100A8, HSP90AA1, SLC9A3R1, CAV1, RAC1, CALM1, PCBD1, OCRL, CFTR, NOS3, FN1, ST13, PRDX6, TUBB6, IPO5, CCT4, MYH9, ALDOA, YWHAZ, PHB, LDHA, RPL36, XRCC5, RPS15, ESYT2, KRT18, RPN1, RPL28]	
C7	35	60	4.96	[F2RL1, PIGU, SLC6A15, CDH13, RPN1, CLEC5A, NECTIN4, YIPF3, SPPL2B, LPAR1, CFTR, SOAT1, CANX, EMD, RAB11A, CLTC, FN1, OCRL, GRB2, SNRPE, AP2M1, LSM12, AP2A2, HMGB2, ELAVL1, CLTB, AP2B1, AP2A1, RAB5C, SEC61B, VAPA, GLB1, PIGN, PIGW, HSCB]	
C8	34	57	4.92	[CNR1, GNAI3, GNAI2, SSTR5, HTR2A, CNR2, GNAI1, ADORA2A, FN1, CFTR, ERLIN2, CAP1, VCL, LDHB, PTGES3, RPLP2, EIF3K, MYL6, SRP14, MDH2, ACLY, YES1, PKM, IGF2BP3, CAPZA1, XRCC5, RPS15, RNH1, HNRNPF, RALY, NPM1, ACTN4, AIMP2, RPL8]	
C9	34	57	4.92	[SYBU, TPH2, YWHAE, DNAJC12, CFTR, FN1, TPH1, TH, LIN7C, RYR2, SNX9, RYK, LGALS3, YWHAG, SLC4A7, LGALS8, LGALS9, YWHAH, SEC61B, PDZK1, PRDX6, TUBB6, IPO5, CCT4, MYH9, ALDOA, YWHAZ, PHB, LDHA, RPL36, XRCC5, RPS15, ESYT2, KRT18]	
C10	33	53	4.98	[NSMAF, CCT2, PKP3, CCT8, NEK9, EPB41L2, PFDN2, CCT3, NEK4, TCP1, CCT5, FBXL19, DOCK8, CCT6A, MAP1LC3A, CCT4, CCT7, XIRP2, KBTBD7, ACTB, GBA, FN1, VASP, BMP2K, CFTR, GSN, PXN, LGALS1, MYH9, PHGDH, YBX1, BAG2, LGALS3]	
