Cno ,  Csize , CEdge , CDensity , Cluster Info
C1,10,27,0.83,"[MIS12, FGA, MAPK6, APOA1, DDX19B, TF, FGB, FGG, KHDRBS2, ALDH2]"
C2,9,23,0.78,"[PIGU, LYPD3, PIGK, PIGS, GPAA1, VNN2, PIGT, PRSS50, STOM]"
C3,8,18,0.78,"[FGA, KHDRBS2, FGG, RING1, SNX27, ALDH2, FGB, HIST1H2BJ]"
C4,7,13,0.81,"[F2, PLAT, FGA, ALB, THBS1, YWHAQ, FN1]"
C5,6,11,0.68,"[PIGH, PIGC, IL18RAP, PIGQ, PIGP, PIGA]"
C6,6,9,0.83,"[PCCB, IFIT1, NDUFS7, MCCC1, PCCA, MCCC2]"
C7,6,9,0.83,"[TF, CD81, TFRC, APOA1, DDX31, FN1]"
C8,6,9,0.83,"[PLG, METTL14, HMGB1, FN1, ENO1, IGFBP3]"
C9,6,9,0.83,"[CAD, PRKCE, SEC16A, CFTR, TRIM29, STAU1]"
C10,6,9,0.83,"[TGM2, LOX, FN1, PLG, IGFBP3, ENO1]"
C11,6,9,0.83,"[ACACA, RPL27A, COPB1, FN1, ILK, MYC]"
C12,6,9,0.83,"[CCT3, GBA, NSMAF, TCP1, CCT8, CFTR]"
C13,6,9,0.83,"[CCT5, NSMAF, CFTR, CCT4, FN1, CCT2]"
C14,5,9,0.56,"[ELN, LOX, FBN1, FBLN5, EFEMP2]"
C15,5,6,0.83,"[PIGA, FAM189B, PCDHA3, SMPD2, PCDHB7]"
C16,5,6,0.83,"[PCBD1, CUL1, CUL4A, PTGS2, CA2]"
C17,5,6,0.83,"[NOS2, S100A9, S100A8, CFTR, HSP90AA1]"
C18,5,6,0.83,"[PIGO, ADGRG5, UPK1A, SOAT1, PTH1R]"
C19,5,6,0.83,"[CA9, SLC3A2, ITGB1, FN1, GLRX3]"
C20,5,6,0.83,"[TPH1, CFL1, YWHAZ, FN1, CFTR]"
C21,5,6,0.83,"[YIPF3, PIGN, PIGW, SPPL2B, PIGU]"
C22,5,6,0.83,"[CLTC, SOAT1, OCRL, RAB11A, CFTR]"
C23,5,6,0.83,"[ZFP41, FBN2, FBN1, ZNF408, FBLN5]"
C24,5,6,0.83,"[RAC1, OCRL, NOS2, S100A8, CFTR]"
C25,5,7,0.71,"[HSPA8, CAD, CFTR, RUVBL2, RUVBL1]"
C26,5,6,0.83,"[PPP2CA, BEST1, CFTR, RPLP2, FN1]"
C27,5,6,0.83,"[COPS5, QDPR, PTGS2, CUL1, PCBD1]"
C28,5,6,0.83,"[IPO5, TXNRD1, CFTR, PDIA6, FN1]"
C29,5,6,0.83,"[TUBA1C, TXNRD1, CAD, ESR1, TUBA4A]"
C30,5,6,0.83,"[FARSB, GPX7, FGB, FTO, PTPN11]"
C31,5,6,0.83,"[DDX19B, GM2A, SULT2B1, GMCL1, TBC1D22B]"
C32,5,6,0.83,"[NDUFA4, DHCR24, AGK, ATP12A, COQ9]"
C33,5,6,0.83,"[RAB5C, SOAT1, OCRL, RAB11A, CLTC]"
C34,5,6,0.83,"[MRPL58, AGK, MCCC2, CUL3, OTUB1]"
C35,5,6,0.83,"[PCNA, CA2, CFTR, HSPD1, SLC4A8]"
C36,5,6,0.83,"[DNAJB1, GLB1, CFTR, DNAJB2, VIM]"
C37,5,6,0.83,"[MAPK6, CAD, HBB, HSPA8, DYNLL1]"
C38,5,6,0.83,"[PAK1, FGB, CAD, RHOA, MAP2K1]"
C39,5,6,0.83,"[ANXA1, OCRL, CFTR, CLTA, SNX9]"
C40,5,6,0.83,"[YWHAB, SLC4A7, CFTR, YWHAQ, PDZK1]"
C41,5,6,0.83,"[CSNK1A1, CAD, ACACA, CDK9, LGALS3BP]"
C42,5,7,0.71,"[XPO1, CAD, CFTR, PSMC2, TP53]"
C43,5,6,0.83,"[MDH2, PC, CFTR, STRAP, TP53]"
C44,5,6,0.83,"[KRT18, CFTR, DYNLL1, PPP2R1A, FN1]"
C45,5,6,0.83,"[CBL, GBA, CFTR, HYOU1, HSP90B1]"
C46,5,6,0.83,"[OLA1, TXNRD1, FN1, PDIA6, IPO5]"
C47,5,6,0.83,"[MCTS1, GPX7, FGB, PAPSS1, FARSB]"
C48,5,6,0.83,"[HTR3C, PIGO, PIGM, ADGRG5, UPK1A]"
C49,5,6,0.83,"[ZIC1, ASAH1, GM2A, HSF2, AIRE]"
C50,5,6,0.83,"[GRN, CELA2B, CFTR, UBE3A, TP53]"
C51,5,6,0.83,"[PRMT1, CERK, FN1, NCBP1, PRPF4]"
C52,5,6,0.83,"[MRAP2, CERK, UGCG, HEPACAM2, CD83]"
C53,5,6,0.83,"[NDUFB5, ENPP6, TACR1, ND5, NDUFB8]"
C54,5,6,0.83,"[FCGRT, CD1E, CD1B, DIPK1A, MAN1A2]"
C55,5,6,0.83,"[KCNJ8, CD1E, CD1B, B2M, CANX]"
C56,5,6,0.83,"[EMD, SOAT1, CFTR, RAB11A, CANX]"
C57,5,6,0.83,"[LRRTM1, SMPD2, PIGA, PCDHGB4, FAM189B]"
C58,5,6,0.83,"[CCT6A, NSMAF, CFTR, CCT2, RACK1]"
C59,5,6,0.83,"[VASP, NSMAF, FN1, CCT2, CCT4]"
C60,5,6,0.83,"[CDK2, GLB1, CAD, RHOA, HSCB]"
C61,5,6,0.83,"[MYOC, FBN1, FN1, FBLN2, LTBP1]"
C62,5,6,0.83,"[NHP2, BCHE, FN1, COLQ, SF1]"
C63,5,6,0.83,"[PSME2, FGB, CFTR, TES, YWHAQ]"
C64,5,7,0.71,"[CCNYL1, FGB, FGG, ASCC1, YWHAQ]"
C65,5,6,0.83,"[NARS, FGB, FN1, PPID, RBM12]"
C66,5,6,0.83,"[TLN1, FGB, FN1, FEN1, VPS26A]"
C67,5,6,0.83,"[NAA15, FGB, FN1, FBLN1, PPID]"
C68,5,6,0.83,"[PICALM, DDIT3, FN1, TRIB3, CSNK2A1]"
C69,5,6,0.83,"[HMGB2, OCRL, FN1, LSM12, AP2A1]"
C70,5,6,0.83,"[SNRPE, OCRL, FN1, AP2M1, AP2A2]"
C71,5,6,0.83,"[DHX9, OCRL, CFTR, PFN1, RAB14]"
C72,5,6,0.83,"[EIF3E, OCRL, CFTR, RAB5A, CLTC]"
C73,5,6,0.83,"[CLTB, OCRL, FN1, AP2B1, CLTC]"
C74,5,6,0.83,"[YWHAH, SLC4A7, FN1, LGALS9, LGALS8]"
C75,5,6,0.83,"[CDC37, NOS3, CFTR, CAV1, ACTB]"
C76,5,7,0.71,"[C1QA, APOA1, FN1, KRT1, C1QBP]"
C77,5,6,0.83,"[HP, APOA1, HBB, HBA1, GDPD1]"
C78,5,6,0.83,"[PRKCZ, CAD, DYNLL1, MAD2L1, HTT]"
C79,5,6,0.83,"[TSHR, PC, FN1, DISC1, RAB7A]"
C80,5,6,0.83,"[KIF5B, ACACA, CFTR, PRKAA1, CCT3]"
C81,5,6,0.83,"[LRRFIP2, PYGL, CFTR, USP19, EZR]"
C82,5,6,0.83,"[AHCY, PYGL, CFTR, USP19, EZR]"
C83,5,6,0.83,"[SLC9A3R1, NOS2, CFTR, CALM1, S100A9]"
C84,5,6,0.83,"[PPP2R2B, CFTR, DYNLL1, HDAC6, DDX3X]"
C85,5,6,0.83,"[PSMD11, CFTR, FN1, SNAP23, QARS]"
C86,5,6,0.83,"[PSMB3, CFTR, FN1, TUBB6, MYH9]"
